"id","no_surah","bilangan_ayat","muka_surat","juzuk","nama_english","nama_melayu","nama_arab","maksud_english","maksud_melayu","tempat_diturunkan","created_at","updated_at","deleted_at"
"40","40","85","467","24","Ghaafir (Al-Mu'min)","Ghaafir (Al-Mu'min)","غافر","The Forgiver","Orang yang Beriman","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"41","41","54","477","24","Fussilat","Fussilat","فصلت","Explained in Detail","Dijelaskan","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"42","42","53","483","25","Asy-Syura","Ash-Shura","الشورى","The Consultation","Permesyuaratan","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"43","43","89","489","25","Az-Zukhruf","Az-Zukhruf","الزخرف","The Ornaments of Gold","Perhiasan Emas","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"44","44","59","496","25","Ad-Dukhaan","Ad-Dukhan","الدخان","The Smoke","Kabut / Asap","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"45","45","37","499","25","Al-Jaathiyah","Al-Jathiyah","الجاثية","The Crouching","Yang Berlutut","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"46","46","35","502","26","Al-Ahqaaf","Al-Ahqaf","الأحقاف","The Wind-Curved Sandhills","Bukit-bukit Pasir","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"47","47","38","507","26","Muhammad (S.A.W)","Muhammad","محمد","Muhammad","Nabi Muhammad SAW","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"48","48","29","511","26","Al-Fat-h","Al-Fath","الفتح","The Victory","Kemenangan","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"49","49","18","515","26","Al-Hujuraat","Al-Hujurat","الحجرات","The Rooms","Bilik-bilik","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"50","50","45","518","26","Qaaf","Qaf","ق","The Letter ""Qaf""","Qaaf","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"51","51","60","520","26","Adz-Dzaariyaat","Adh-Dhariyat","الذاريات","The Winnowing Winds","Angin yang Menerbangkan","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"52","52","49","523","27","At-Tuur","At-Tur","الطور","The Mount","Bukit","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"53","53","62","526","27","An-Najm","An-Najm","النجم","The Star","Bintang","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"54","54","55","528","27","Al-Qamar","Al-Qamar","القمر","The Moon","Bulan","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"55","55","78","531","27","Ar-Rahmaan","Ar-Rahman","الرحمن","The Beneficent","Yang Maha Pemurah","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"56","56","96","534","27","Al-Waaqi'ah","Al-Waqi'ah","الواقعة","The Inevitable","Peristiwa yang Tidak Dapat Dielakkan","M","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"57","57","29","537","27","Al-Hadiid","Al-Hadid","الحديد","The Iron","Besi","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"58","58","22","542","28","Al-Mujaadalah","Al-Mujadalah","المجادلة","The Pleading Woman","Perempuan yang Merayu","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"59","59","24","545","28","Al-Hasyr","Al-Hashr","الحشر","The Exile","Pengusiran","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"60","60","13","549","28","Al-Mumtahanah","Al-Mumtahanah","الممتحنة","She that is to be examined","Perempuan yang Diuji","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"61","61","14","551","28","As-Saff","As-Saff","الصف","The Ranks","Barisan","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"62","62","11","553","28","Al-Jumu'ah","Al-Jumu'ah","الجمعة","The Congregation, Friday","Hari Jumaat","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"63","63","11","554","28","Al-Munaafiquun","Al-Munafiqun","المنافقون","The Hypocrites","Golongan Munafik","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"64","64","18","556","28","At-Taghaabun","At-Taghabun","التغابن","The Mutual Disillusion","Dinampakkan Kesalahan","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"65","65","12","558","28","At-Talaaq","At-Talaq","الطلاق","The Divorce","Cerai / Talak","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
"66","66","12","560","28","At-Tahriim","At-Tahrim","التحريم","The Prohibition","Mengharamkan","D","2024-06-27 03:26:58","2024-06-27 03:27:12",NULL
